id	dam	sire	Cohort	Immigrant
180	4434	4229	2001	0
181	4434	4229	2001	0
182	4434	4229	2001	0
183	4434	4229	2001	0
184	4246	4406	2001	0
185	4246	4406	2001	0
186	4246	4406	2001	0
187	4246	4406	2001	0
188	4246	4406	2001	0
189	4134	4295	2001	0
190	4134	4295	2001	0
191	4134	4295	2001	0
192	4134	4295	2001	0
193	NA	NA	2001	0
194	4498	4409	2001	0
195	4498	4409	2001	0
196	4498	4409	2001	0
197	4498	4409	2001	0
198	4291	4410	2001	0
199	4291	4410	2001	0
200	NA	NA	2001	0
201	NA	NA	2001	0
202	4440	4304	2001	0
203	4440	4304	2001	0
204	4440	4304	2001	0
205	4440	4304	2001	0
206	4497	4470	2001	0
207	4497	4470	2001	0
208	4497	4470	2001	0
209	NA	NA	2001	0
210	NA	NA	2001	0
211	4465	4410	2001	0
212	4465	4410	2001	0
213	4465	4410	2001	0
214	NA	NA	2001	0
215	4277	4402	2001	0
216	4277	4450	2001	0
217	4277	4450	2001	0
218	4255	4439	2001	0
219	4255	4439	2001	0
220	NA	NA	2001	0
221	4255	4439	2001	0
222	4178	4265	2001	0
223	4178	4265	2001	0
224	NA	NA	2001	0
225	4178	4265	2001	0
226	NA	NA	2001	0
227	NA	NA	2001	0
228	NA	NA	2001	0
229	NA	NA	2001	0
230	NA	NA	2001	0
231	4178	4264	2001	0
232	4178	4265	2001	0
233	4178	4265	2001	0
234	NA	NA	2001	0
235	4333	4274	2001	0
236	4333	4274	2001	0
237	NA	NA	2001	0
238	NA	NA	2001	0
239	NA	NA	2001	0
240	NA	NA	2001	0
241	NA	NA	2001	0
242	NA	NA	2001	0
243	NA	NA	2001	0
244	NA	NA	2001	0
245	NA	NA	2001	0
246	NA	NA	2001	0
247	NA	NA	2001	0
248	NA	NA	2001	0
249	4442	4413	2001	0
250	4285	4480	2001	0
251	4273	4135	2001	0
252	NA	NA	2001	0
253	4436	4230	2002	0
254	4436	4230	2002	0
255	4436	4230	2002	0
256	4436	4230	2002	0
257	4436	4230	2002	0
258	4277	4247	2002	0
259	4277	4247	2002	0
260	4277	4247	2002	0
261	NA	NA	2002	0
262	28	4325	2002	0
263	28	4325	2002	0
264	NA	NA	2002	0
265	NA	NA	2002	0
266	4213	35	2002	0
267	4213	35	2002	0
268	4213	35	2002	0
269	4504	4464	2002	0
270	NA	NA	2002	0
271	NA	4464	2002	0
272	4246	115	2002	0
273	NA	NA	2002	0
274	NA	NA	2002	0
275	NA	NA	2002	0
276	4376	4247	2002	0
277	NA	NA	2002	0
278	4376	4478	2002	0
279	4376	4478	2002	0
280	NA	NA	2002	0
281	60	4295	2002	0
282	60	4419	2002	0
283	NA	NA	2002	0
284	4468	20	2002	0
285	4468	20	2002	0
